"ec_num","comments"
"1.1.1.52","Also acts on other 3alpha-hydroxysteroids with an acidic side-chain. cf. EC 1.1.1.392, 3alpha-hydroxycholanate dehydrogenase (NADP+)."
"1.1.1.53",The 3alpha-hydroxy group or 20beta-hydroxy group of pregnane and androstane steroids can act as donor.
"1.1.1.54",Also acts on saturated primary alcohols.
"1.1.1.55",May be identical with EC 1.1.1.2 alcohol dehydrogenase (NADP+).
"1.1.1.57",Also reduces D-tagaturonate.
"1.1.1.62","The enzyme oxidizes or reduces the hydroxy/keto group on C17 of estrogens and androgens in mammals and regulates the biological potency of these steroids. The mammalian enzyme is bifunctional and also catalyses EC 1.1.1.270, 3beta-hydroxysteroid 3-dehydrogenase [3]. The enzyme also acts on (S)-20-hydroxypregn-4-en-3-one and related compounds, oxidizing the (S)-20-group, but unlike EC 1.1.1.149, 20alpha-hydroxysteroid dehydrogenase, it is Si-specific with respect to NAD(P)+."
"1.1.1.64",Also oxidizes 3-hydroxyhexobarbital to 3-oxohexobarbital.
"1.1.1.65",Also oxidizes pyridoxine phosphate.
"1.1.1.66","Also acts, more slowly, on 9-hydroxynonanoate and 11-hydroxyundecanoate."
"1.1.1.71","Reduces aliphatic aldehydes of carbon chain length from 2 to 14, with greatest activity on C4, C6 and C8 aldehydes; also reduces retinal to retinol."
"1.1.1.73","Acts, less rapidly, on other long-chain alcohols."
"1.1.1.75",Requires K+.
"1.1.1.76","This enzyme catalyses the reversible reduction of (S)-acetoin to (S,S)-butane-2,3-diol. It can also catalyse the irreversible reduction of diacetyl to (S)-acetoin."
"1.1.1.78","This mammalian enzyme differs from the yeast enzyme, EC 1.1.1.283, methylglyoxal reductase (NADPH), by its cosubstrate requirement, reaction direction, and enantiomeric preference."
"1.1.1.79",Also reduces hydroxypyruvate to glycerate; has some affinity for NAD+.
"1.1.1.80","Also acts on other short-chain secondary alcohols and, slowly, on primary alcohols."
"1.1.1.82",Activated by light.
"1.1.1.84",Requires K+ or NH4+ and Mn2+ or Co2+; also acts on (R)-malate.
"1.1.1.85",The product decarboxylates spontaneously to yield 4-methyl-2-oxopentanoate.
"1.1.1.86","Also catalyses the reduction of 2-ethyl-2-hydroxy-3-oxobutanoate to 2,3-dihydroxy-3-methylpentanoate. The enzyme, found in many bacteria and archaea, is specific for NADPH (cf. EC 1.1.1.382, ketol-acid reductoisomerase (NAD+) and EC 1.1.1.383, ketol-acid reductoisomerase [NAD(P)+])."
"1.1.1.87",Forms part of the lysine biosynthesis pathway in fungi [3].
"1.1.1.90","A group of enzymes with broad specificity towards primary alcohols with an aromatic or cyclohex-1-ene ring, but with low or no activity towards short-chain aliphatic alcohols."
"1.1.1.91","Also acts on some aliphatic aldehydes, but cinnamaldehyde was the best substrate found."
"1.1.1.92",Also reduces hydroxypyruvate to D-glycerate and glyoxylate to glycolate.
"1.1.1.93","meso-tartrate and (R,R)-tartrate act as substrates. Requires Mn2+ and a monovalent cation."
"1.1.1.94",The enzyme from Escherichia coli shows specificity for the B side of NADPH.
"1.1.1.95","This enzyme catalyses the first committed and rate-limiting step in the phosphoserine pathway of serine biosynthesis. The reaction occurs predominantly in the direction of reduction. The enzyme from the bacterium Escherichia coli also catalyses the activity of EC 1.1.1.399, 2-oxoglutarate reductase [6]."
"1.3.98.4","The enzyme, characterized from the bacteria Streptomyces aureofaciens and Streptomyces rimosus, catalyses the last step in the biosynthesis of the tetracycline antibiotics tetracycline and oxytetracycline."
"1.1.1.96",Substrates contain an aromatic ring with a pyruvate side chain. The most active substrates are halogenated derivatives. Compounds with hydroxy or amino groups in the 3 or 5 position are inactive.
"1.1.1.100",Exhibits a marked preference for acyl-carrier-protein derivatives over CoA derivatives as substrates.
"1.1.1.101",Also acts on alkylglycerone 3-phosphate and alkylglycerol 3-phosphate.
"1.1.1.103","This enzyme acts in concert with EC 2.3.1.29, glycine C-acetyltransferase, in the degradation of threonine to glycine. This threonine-degradation pathway is common to prokaryotic and eukaryotic cells and the two enzymes involved form a complex [2]. In aqueous solution, the product L-2-amino-3-oxobutanoate can spontaneously decarboxylate to form aminoacetone."
"1.1.1.104","The enzyme, isolated from animals, is specific for 4-oxo-L-proline and cis-4-hydroxy-L-proline. It has no activity with trans-4-hydroxy-L-proline."
"1.1.1.105","The enzyme recognizes all-trans-retinol and all-trans-retinal as substrates and exhibits a strong preference for NAD+/NADH as cofactors. Recognizes the substrate both in free form and when bound to cellular-retinol-binding-protein (CRBP1), but has higher affinity for the bound form [2]. No activity with 11-cis-retinol or 11-cis-retinal (cf. EC 1.1.1.315, 11-cis-retinol dehydrogenase). Also active with 3alpha-hydroxysteroids [2]."
"1.1.1.107",The enzyme acts on the hemiacetal form of the substrate.
"1.1.1.110","The enzymes from anaerobic bacteria such as Clostridium sporogenes participate in the fermentation pathways of L-phenylalanine, L-tyrosine and L-tryptophan. The enzyme from the yeast Candida maltosa has similar activity, but, unlike the bacterial enzyme, requires Mn2+ and can also use NADPH with lower activity."
"1.1.1.112","3(20)alpha-Hydroxysteroids are also oxidized, more slowly."
"1.1.1.113",Also oxidizes D-arabinose and D-lyxose.
"1.1.1.115","Also acts, more slowly, on D-xylose and other pentoses."
"1.1.1.117","Also acts on L-galactose, 6-deoxy- and 3,6-dideoxy-L-galactose."
"1.1.1.119","Also oxidizes D-mannose, 2-deoxy-D-glucose and 2-amino-2-deoxy-D-mannose."
"1.1.1.120","Also acts on L-arabinose, 6-deoxy- and 2-deoxy-D-galactose."
"1.1.1.121","Acts on D-glucose, 2-deoxy- and 6-deoxy-D-glucose, D-galactose, 6-deoxy-D-galactose, 2-deoxy-L-arabinose and D-xylose."
"1.1.1.122","Acts on L-fucose, D-arabinose and L-xylose; the animal enzyme was also shown to act on L-arabinose, and the enzyme from Pseudomonas caryophylli on L-glucose."
"1.1.1.127","The enzyme from Pseudomonas acts equally well on NAD+ or NADP+, while that from Erwinia chrysanthemi and Escherichia coli is more specific for NAD+."
"1.1.1.132",Also acts on the corresponding deoxynucleoside diphosphate derivative as a substrate.
"1.1.1.133","In the reverse direction, reduction on the 4-position of the hexose moiety takes place only while the substrate is bound to another enzyme that catalyses epimerization at C-3 and C-5; the complex has been referred to as dTDP-L-rhamnose synthase."
"1.1.1.134",Oxidation on the 4-position of the hexose moiety takes place only while the substrate is bound to another enzyme that catalyses epimerization at C-3 and C-5.
"1.1.1.136","This enzyme participates in the biosynthetic pathway for UDP-alpha-D-ManNAc3NAcA (UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronic acid), an important precursor of B-band lipopolysaccharide."
"1.1.1.137","The enzyme, characterized from the bacterium Lactobacillus plantarum, can use both NAD+ and NADP+ as electron acceptor [cf. EC 1.1.1.405, ribitol-5-phosphate 2-dehydrogenase (NADP+)]."
"1.1.1.141","Acts on prostaglandin E2, F2alpha and B1, but not on prostaglandin D2. cf. EC 1.1.1.196 15-hydroxyprostaglandin-D dehydrogenase (NADP+) and EC 1.1.1.197 15-hydroxyprostaglandin dehydrogenase (NADP+)."
"1.1.1.144","Oxidizes a number of primary alcohols with the alcohol group allylic to an endocyclic double bond and a 6-membered ring, either aromatic or hydroaromatic."
"1.1.1.145","This activity is found in several bifunctional enzymes that catalyse the oxidative conversion of Delta5-3-hydroxy steroids to a Delta4-3-oxo configuration. This conversion is carried out in two separate, sequential reactions; in the first reaction, which requires NAD+, the enzyme catalyses the dehydrogenation of the 3beta-hydroxy steroid to a 3-oxo intermediate. In the second reaction the reduced cosubstrate, which remains attached to the enzyme, activates the isomerization of the Delta5 form to a Delta4 form (cf. EC 5.3.3.1, steroid Delta-isomerase). Substrates include dehydroepiandrosterone (which is converted into androst-5-ene-3,17-dione), pregnenolone (converted to progesterone) and cholest-5-en-3-one, an intermediate of cholesterol degradation."
"1.1.1.149",Re-specific with respect to NAD(P)+ (cf. EC 1.1.1.62 17beta-estradiol 17-dehydrogenase).
"1.1.1.150",Acts on a number of 21-hydroxycorticosteroids.
"1.1.1.151",Acts on a number of 21-hydroxycorticosteroids.
"1.1.1.153","This enzyme catalyses the final step in the de novo synthesis of tetrahydrobiopterin from GTP. The enzyme, which is found in higher animals and some fungi and bacteria, produces the erythro form of tetrahydrobiopterin. cf. EC 1.1.1.325, sepiapterin reductase (L-threo-7,8-dihydrobiopterin-forming)."
"1.1.1.154","Involved in catabolism of purines. The enzyme from the bacterium Arthrobacter allantoicus can use both NAD+ and NADP+ with similar activity. cf. EC 1.1.1.350, ureidoglycolate dehydrogenase (NAD+)."
"1.1.1.158","A flavoprotein (FAD). Sodium dithionite, sodium borohydride and, to a lesser extent, NADH, can replace NADPH."
"1.1.1.159",Catalyses the oxidation of the 7alpha-hydroxy group of bile acids and alcohols both in their free and conjugated forms. The Bacteroides fragilis and Clostridium enzymes can also utilize NADP+.
"1.1.1.160","Also acts, more slowly, with NAD+."
"1.1.1.162","NAD+ is also utilized, but more slowly."
"1.1.1.163","4-Methylcyclohexanol and cyclohexanol can also act as substrates."
"1.1.1.164",The liver enzyme acts on long-chain alcohols from C8 to C16. The Euglena enzyme also oxidizes the corresponding aldehydes to fatty acids.
"1.1.1.165","Acts on a variety of 2-alkyn-1-ols, and also on 1,4-butanediol. NADP+ also acts as acceptor, but more slowly."
"1.1.1.166","Acts on hydroxycyclohexanecarboxylates that have an equatorial carboxy group at C-1, an axial hydroxy group at C-3 and an equatorial hydroxy or carbonyl group at C-4, including (-)-quinate and (-)-shikimate."
"1.1.1.168","The yeast enzyme differs from that from Escherichia coli [EC 1.1.1.214 2-dehydropantolactone reductase (Si-specific)], which is specific for the Si-face of NADP+, and in receptor requirements from EC 1.1.99.26 3-hydroxycyclohexanone dehydrogenase."
"1.1.1.170","The enzyme participates in the biosynthesis of several important sterols such as ergosterol and cholesterol. It is part of a three enzyme system that removes methyl groups from the C-4 position of steroid molecules. The first enzyme, EC 1.14.18.9, 4alpha-methylsterol monooxygenase, catalyses three successive oxidations of the methyl group, resulting in a carboxyl group; the second enzyme, EC 1.1.1.170, catalyses an oxidative decarboxylation that results in a reduction of the 3beta-hydroxy group at the C-3 carbon to an oxo group; and the last enzyme, EC 1.1.1.270, 3beta-hydroxysteroid 3-dehydrogenase, reduces the 3-oxo group back to a 3beta-hydroxyl. If a second methyl group remains at the C-4 position, this enzyme also catalyses its epimerization from 4beta to 4alpha orientation, so it could serve as a substrate for a second round of demethylation. cf. EC 1.1.1.418, plant 3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating)."
"1.1.1.174","Also oxidizes, more slowly, the cis isomer and 2-hydroxycyclohexanone."
"1.1.1.176","Catalyses the oxidation of the 12alpha-hydroxy group of bile acids, both in their free and conjugated form. Also acts on bile alcohols."
"1.1.1.178","Also acts, more slowly, on (2S,3S)-2-hydroxy-3-methylpentanoyl-CoA."
"1.1.1.179","The enzyme, characterized from pig arterial vessels and eye lens, also acts, more slowly, on L-arabinose and D-ribose. cf. EC 1.1.1.424, D-xylose 1-dehydrogenase (NADP+, D-xylono-1,4-lactone-forming)."
"1.1.1.181","Highly specific for 3beta,7alpha-dihydroxy-C27-steroids with Delta5-double bond."
"1.1.1.183","Also acts, more slowly on farnesol but not on nerol. The enzyme produces a mixture known as citral, which includes geranial and neral. It is still not known whether neral is produced directly by the enzyme, or by isomerization of geranial."
"1.1.1.184","Acts on a wide range of carbonyl compounds, including quinones, aromatic aldehydes, ketoaldehydes, daunorubicin and prostaglandins E and F, reducing them to the corresponding alcohol. Si-specific with respect to NADPH [cf. EC 1.1.1.2 alcohol dehydrogenase (NADP+)]."
"1.1.1.185","The 2-hydroxycarbonyl compound formed can be further oxidized to a vicinal dicarbonyl compound. In the reverse direction, vicinal diketones, glyceraldehyde, glyoxal, methylglyoxal, 2-oxo-hydroxyketones and 2-ketoacid esters can be reduced."
"1.1.1.187","The enzyme, which operates in the opposite direction to that shown, forms a mixture of GDP-alpha-D-rhamnose and its C-4 epimer, GDP-6-deoxy-alpha-D-talose. cf. EC 1.1.1.281, GDP-4-dehydro-6-deoxy-D-mannose reductase and EC 1.1.1.135, GDP-6-deoxy-D-talose 4-dehydrogenase."
"1.1.1.188","Reduces prostaglandin D2 and prostaglandin H2 to prostaglandin F2; prostaglandin D2 is not an intermediate in the reduction of prostaglandin H2. Also catalyses the reduction of a number of carbonyl compounds, such as 9,10-phenanthroquinone and 4-nitroacetophenone."
"1.1.1.189",Reduces prostaglandin E2 to prostaglandin F2alpha. A number of other 9-oxo- and 15-oxo-prostaglandin derivatives can also be reduced to the corresponding hydroxy compounds. May be identical with EC 1.1.1.197 15-hydroxyprostaglandin dehydrogenase (NADP+).
"1.1.1.192",Hexadecanol is a good substrate.
"1.1.1.194","Specific for coniferyl alcohol; does not act on cinnamyl alcohol, 4-coumaryl alcohol or sinapyl alcohol."
"1.1.1.195","Acts on coniferyl alcohol, sinapyl alcohol, 4-coumaryl alcohol and cinnamyl alcohol (cf. EC 1.1.1.194 coniferyl-alcohol dehydrogenase)."
"1.1.1.196",Specific for prostaglandins D [cf. EC 1.1.1.141 15-hydroxyprostaglandin dehydrogenase (NAD+) and EC 1.1.1.197 15-hydroxyprostaglandin dehydrogenase (NADP+)].
"1.1.1.197","Acts on prostaglandins E2, F2alpha and B1, but not on prostaglandin D2 [cf. EC 1.1.1.141 15-hydroxyprostaglandin dehydrogenase (NAD+) and EC 1.1.1.196 15-hydroxyprostaglandin-D dehydrogenase (NADP+)]. May be identical with EC 1.1.1.189 prostaglandin-E2 9-reductase."
"1.1.1.198","NADP+ can also act, but more slowly."
"1.1.1.200","In the reverse reaction, acts also on D-galactose 6-phosphate and, more slowly, on D-mannose 6-phosphate and 2-deoxy-D-glucose 6-phosphate."
"1.1.1.201",Catalyses the oxidation of the 7beta-hydroxy group of bile acids such as ursodeoxycholate.
"1.1.1.203","Requires Mg2+. The enzyme, characterized from the bacterium Agrobacterium fabrum, participates in oxidative degradation pathways for galacturonate and glucuronate. The enzyme can only accept the beta anomeric form of the substrate [4]. The 1,5-lactone product is rather stable at cytosolic pH and does not hydrolyse spontaneously at a substantial rate."
"1.1.1.205",The enzyme acts on the hydroxy group of the hydrated derivative of the substrate.
"1.1.1.206","Also oxidizes other tropan-3alpha-ols, but not the corresponding beta-derivatives [1]. This enzyme along with EC 1.1.1.236, tropinone reductase II, represents a branch point in tropane alkaloid metabolism [4].  Tropine (the product of EC 1.1.1.206) is incorporated into hyoscyamine and scopolamine whereas pseudotropine (the product of EC 1.1.1.236) is the first specific metabolite on the pathway to the calystegines [4]. Both enzymes are always found together in any given tropane-alkaloid-producing species, have a common substrate, tropinone, and are strictly stereospecific [3]."
"1.1.1.207",Not identical with EC 1.1.1.208 (+)-neomenthol dehydrogenase. Acts also on a number of other cyclohexanols and cyclohexenols.
"1.1.1.208",Not identical with EC 1.1.1.207 (-)-menthol dehydrogenase. Acts also on a number of other cyclohexanols and cyclohexenols.
"1.1.1.209","Acts on the 3alpha-hydroxy group of androgens of the 5alpha-androstane series; and also, more slowly, on the 17alpha-hydroxy group of both androgenic and estrogenic substrates (cf. EC 1.1.1.51 3(or 17)beta-hydroxysteroid dehydrogenase)."
"1.1.1.210",Also acts on 20alpha-hydroxysteroids.
"1.1.1.211","This enzyme was purified from the mitochondrial inner membrane. The enzyme has a preference for long-chain substrates, and activity with a C16 substrate was 6- to 15-fold higher than with a C4 substrate (cf. EC 1.1.1.35 3-hydroxyacyl-CoA dehydrogenase)."
"1.1.1.212","Forms part of the fatty acid synthase system in plants. Can be separated from EC 1.1.1.100, 3-oxoacyl-[acyl-carrier-protein] reductase."
"1.1.1.213","The enzyme acts on multiple 3alpha-hydroxysteroids. Re-specific with respect to NAD+ or NADP+ [cf. EC 1.1.1.50, 3alpha-hydroxysteroid 3-dehydrogenase (Si-specific)]. Enzymes whose stereo-specificity with respect to NAD+ or NADP+ is not known are described by EC 1.1.1.357, 3alpha-hydroxysteroid 3-dehydrogenase."
"1.1.1.214","The Escherichia coli enzyme differs from that from yeast [EC 1.1.1.168 2-dehydropantolactone reductase (Re-specific)], which is specific for the Re-face of NADP+, and in receptor requirements from EC 1.1.99.26 3-hydroxycyclohexanone dehydrogenase."
"1.1.1.215","Also acts on L-idonate, D-galactonate and D-xylonate."
"1.1.1.216","Also acts, more slowly, on (2Z,6E)-farnesol, geraniol, citronerol and nerol."
"1.1.1.217","Also acts on benzyl (2S,3S)-2-methyl-3-hydroxybutanoate; otherwise highly specific."
"1.1.1.218","Also acts on some other alkaloids, including codeine, normorphine and ethylmorphine, but only very slowly on 7,8-saturated derivatives such as dihydromorphine and dihydrocodeine. In the reverse direction, also reduces naloxone to the 6alpha-hydroxy analogue. Activated by 2-sulfanylethan-1-ol (2-mercaptoethanol)."
"1.1.1.219","This plant enzyme, involved in the biosynthesis of anthocyanidins, is known to act on (+)-dihydrokaempferol, (+)-taxifolin, and (+)-dihydromyricetin, although some enzymes may act only on a subset of these compounds. Each dihydroflavonol is reduced to the corresponding cis-flavan-3,4-diol. NAD+ can act instead of NADP+, but more slowly."
"1.1.1.220",Not identical with EC 1.1.1.153 sepiapterin reductase.
"1.1.1.221",Oxidizes vomifoliol to dehydrovomifoliol; involved in the metabolism of abscisic acid in Corynebacterium sp.
"1.1.1.222","Also acts, more slowly, on (R)-3-phenyllactate, (R)-3-(indol-3-yl)lactate and (R)-lactate."
"1.1.1.223","Acts on (-)-trans-isopiperitenol, (+)-trans-piperitenol and (+)-trans-pulegol. Involved in the biosynthesis of menthol and related monoterpenes in peppermint (Mentha piperita) leaves."
"1.1.1.224",Involved in the biosynthesis of mannitol in celery (Apium graveolens) leaves.
"1.1.1.225",Chlordecone is an organochlorine pesticide.
"1.1.1.226","The enzyme from Corynebacterium cyclohexanicum is highly specific for the trans-4-hydroxy derivative. cf. EC 1.1.1.438, cis-4-hydroxycyclohexanecarboxylate dehydrogenase."
"1.1.1.227","NADP+ can also act, but more slowly."
"1.1.1.228","NADP+ can also act, but more slowly. Involved in the biosynthesis of (+)-3-thujone and (-)-3-isothujone."
"1.1.1.229","Also acts on diethyl (2S,3R)-2-methyl-3-hydroxysuccinate; and on the corresponding dimethyl esters."
"1.1.1.230",Highly specific to 3alpha-hydroxy derivatives of glycyrrhetinate and its analogues. Not identical to EC 1.1.1.50 3alpha-hydroxysteroid dehydrogenase (Si-specific).
"1.1.1.231",Specific for prostaglandin I2.
"1.1.1.233",Acts on acetyl-D-mannosamine and glycolyl-D-mannosamine. Highly specific.
"1.1.1.234",Involved in the biosynthesis of 3-deoxyanthocyanidins from flavanones such as naringenin or eriodictyol.
"1.1.1.235",Si-specific with respect to NADPH. Also reduces 8-oxodeoxy-coformycin to the nucleoside antibiotic deoxycoformycin.
"1.1.1.236","This enzyme along with EC 1.1.1.206, tropine dehydrogenase, represents a branch point in tropane alkaloid metabolism [3].  Tropine (the product of EC 1.1.1.206) is incorporated into hyoscyamine and scopolamine whereas pseudotropine (the product of EC 1.1.1.236) is the first specific metabolite on the pathway to the calystegines [3]. Both enzymes are always found together in any given tropane-alkaloid-producing species, have a common substrate, tropinone, and are strictly stereospecific [2]."
"1.1.1.237","The enzyme participates in the biosynthesis of rosmarinic acid. It belongs to the family of D-isomer-specific 2-hydroxyacid dehydrogenases, and prefers NADPH to NADH."
"1.1.1.238","Acts on a number of bile acids, both in their free and conjugated forms."
"1.1.1.239",Also acts on other 17beta-hydroxysteroids and on the 3alpha-hydroxy group of pregnanes and bile acids. Different from EC 1.1.1.50 3alpha-hydroxysteroid dehydrogenase (Si-specific) or EC 1.1.1.213 3alpha-hydroxysteroid dehydrogenase (Re-specific).
"1.1.1.240","Also acts on N-acetylgalactosamine and, more slowly, on N-acetylmannosamine. Anomeric specificity was tested with N-acetyl-D-glucosamine, and it was shown that the enzyme is specific for the alpha anomer."
"1.1.1.245",Also oxidizes some other alicyclic alcohols and diols.
"1.1.1.246",The reaction is catalysed in the opposite direction to that shown. This plant enzyme catalyses the penultimate step in the biosynthesis of the pterocarpin phytoalexins medicarpin and maackiain.
"1.1.1.247","Catalyses the reversible reduction of codeinone to codeine, which is a direct precursor of morphine in the opium poppy plant, Papaver somniferum."
"1.1.1.248","Catalyses the reversible reduction of salutaridine to salutaridinol, which is a direct precursor of morphinan alkaloids in the poppy plant."
"1.1.1.251",The enzyme from the bacterium Escherichia coli is involved in a galactitol degradation pathway. It contains two zinc atoms per subunit.
"1.1.1.252","Reduces 1,3,6,8-tetrahydroxynaphthalene to scytalone and also reduces 1,3,8-trihydroxynaphthalene to vermelone. Involved with EC 4.2.1.94 scytalone dehydratase in the biosynthesis of melanin in pathogenic fungi."
